begin ; end ; doc_id ; buch ; quote ; coref ; overlap ;ek ;ek2 ; ds ; space; segnr ; em ; klasse ; xrange;;
2229;2240;53;1;daz getwerc;Maliclisier;overlap_max;0;0;0;R_HOFART;3;null;"[""PER""]";"[{""endOffset"":11,""startOffset"":0,""start"":""2229"",""end"":""2229""}]";"[{""endOffset"":11,""startOffset"":0,""start"":""\/div[85]"",""end"":""\/div[85]""}]";22312400
2229;2240;53;1;daz getwerc;Maliclisier;overlap;0;0;0;R_HOFART;3;null;"[""PER""]";"[{""endOffset"":11,""startOffset"":0,""start"":""2229"",""end"":""2229""}]";"[{""endOffset"":11,""startOffset"":0,""start"":""\/div[85]"",""end"":""\/div[85]""}]";22312401
2352;2361;53;1;mîn hêrre;Idêrs;null;0;0;1;R_HOFART;3;null;"[""PER""]";"[{""endOffset"":13,""startOffset"":4,""start"":2348,""end"":2348}]";"[{""endOffset"":13,""startOffset"":4,""start"":""\/div[89]"",""end"":""\/div[89]""}]";23543610
2428;2440;53;1;mînem hêrren;Idêrs;null;0;0;1;R_HOFART;3;null;"[""PER""]";"[{""endOffset"":25,""startOffset"":13,""start"":2415,""end"":2415}]";"[{""endOffset"":25,""startOffset"":13,""start"":""\/div[92]"",""end"":""\/div[92]""}]";24304400
2544;2548;53;1;Êrec;Erec;null;0;0;0;R_HOFART;4;null;"[""PER""]";"[{""endOffset"":4,""startOffset"":0,""start"":""2544"",""end"":""2544""}]";"[{""endOffset"":4,""startOffset"":0,""start"":""\/div[97]"",""end"":""\/div[97]""}]";25465480
2576;2587;53;1;daz getwerc;Maliclisier;overlap_max;0;0;0;R_HOFART;4;null;"[""PER""]";"[{""endOffset"":15,""startOffset"":4,""start"":""2572"",""end"":""2572""}]";"[{""endOffset"":15,""startOffset"":4,""start"":""\/div[98]"",""end"":""\/div[98]""}]";25785870
2576;2587;53;1;daz getwerc;Maliclisier;overlap;0;0;0;R_HOFART;4;null;"[""PER""]";"[{""endOffset"":15,""startOffset"":4,""start"":""2572"",""end"":""2572""}]";"[{""endOffset"":15,""startOffset"":4,""start"":""\/div[98]"",""end"":""\/div[98]""}]";25785871
2642;2651;53;1;die maget;# unbestimmt (einzel);null;0;0;0;R_HOFART;4;null;"[""PER""]";"[{""endOffset"":16,""startOffset"":7,""start"":2635,""end"":2635}]";"[{""endOffset"":16,""startOffset"":7,""start"":""\/div[100]"",""end"":""\/div[100]""}]";26446510
2747;2757;53;1;der ritter;Idêrs;null;0;0;0;R_HOFART;4;null;"[""PER""]";"[{""endOffset"":10,""startOffset"":0,""start"":2747,""end"":2747}]";"[{""endOffset"":10,""startOffset"":0,""start"":""\/div[104]"",""end"":""\/div[104]""}]";27497570
2787;2791;53;1;Êrec;Erec;null;0;0;0;R_HOFART;4;null;"[""PER""]";"[{""endOffset"":8,""startOffset"":4,""start"":2783,""end"":2783}]";"[{""endOffset"":8,""startOffset"":4,""start"":""\/div[105]"",""end"":""\/div[105]""}]";27897910
2917;2928;53;1;dise unêre diu künegîn;Ginovêr;null;0;0;0;R_HOFART;4;null;"[""PER""]";"[{""endOffset"":2928,""startOffset"":2917,""start"":0,""end"":0}]";"[{""endOffset"":11,""startOffset"":8,""start"":""\/div[109]"",""end"":""\/div[110]""}]";29199280
2933;2943;53;1;ir vrouwen;# unbestimmt (multi);null;0;0;0;R_HOFART;4;null;"[""PER""]";"[{""endOffset"":26,""startOffset"":16,""start"":2917,""end"":2917}]";"[{""endOffset"":26,""startOffset"":16,""start"":""\/div[110]"",""end"":""\/div[110]""}]";29359430
3073;3079;53;1;vrouwe;Ginovêr;null;0;0;1;R_HOFART;4;null;"[""PER""]";"[{""endOffset"":7,""startOffset"":1,""start"":3072,""end"":3072}]";"[{""endOffset"":7,""startOffset"":1,""start"":""\/div[115]"",""end"":""\/div[115]""}]";30760790
3248;3265;53;1;ein sus wênic man;Maliclisier;overlap_max;0;0;1;R_HOFART;4;null;"[""PER""]";"[{""endOffset"":26,""startOffset"":9,""start"":""3239"",""end"":""3239""}]";"[{""endOffset"":26,""startOffset"":9,""start"":""\/div[121]"",""end"":""\/div[121]""}]";32512650
3248;3265;53;1;ein sus wênic man;Maliclisier;overlap;0;0;1;R_HOFART;4;null;"[""PER""]";"[{""endOffset"":26,""startOffset"":9,""start"":""3239"",""end"":""3239""}]";"[{""endOffset"":26,""startOffset"":9,""start"":""\/div[121]"",""end"":""\/div[121]""}]";32512651
3407;3423;53;1;dise juncvrouwen;# unbestimmt (multi);null;0;0;1;R_HOFART;5;null;"[""PER""]";"[{""endOffset"":20,""startOffset"":4,""start"":3403,""end"":3403}]";"[{""endOffset"":20,""startOffset"":4,""start"":""\/div[128]"",""end"":""\/div[128]""}]";34104230
3575;3581;53;1;vrouwe;Ginovêr;overlap_max;0;0;1;R_HOFART;5;null;"[""PER""]";"[{""endOffset"":6,""startOffset"":0,""start"":""3575"",""end"":""3575""}]";"[{""endOffset"":6,""startOffset"":0,""start"":""\/div[134]"",""end"":""\/div[134]""}]";35785810
3575;3581;53;1;vrouwe;Ginovêr;overlap;0;0;1;R_HOFART;5;null;"[""PER""]";"[{""endOffset"":6,""startOffset"":0,""start"":""3575"",""end"":""3575""}]";"[{""endOffset"":6,""startOffset"":0,""start"":""\/div[134]"",""end"":""\/div[134]""}]";35785811
3653;3659;53;1;vrouwe;Ginovêr;null;0;0;1;R_HOFART;5;null;"[""PER""]";"[{""endOffset"":6,""startOffset"":0,""start"":3653,""end"":3653}]";"[{""endOffset"":6,""startOffset"":0,""start"":""\/div[137]"",""end"":""\/div[137]""}]";36566590
3736;3748;53;1;des getwerge;Maliclisier;overlap_max;0;0;1;R_HOFART;5;null;"[""PER""]";"[{""endOffset"":16,""startOffset"":4,""start"":""3732"",""end"":""3732""}]";"[{""endOffset"":16,""startOffset"":4,""start"":""\/div[140]"",""end"":""\/div[140]""}]";37397480
3736;3748;53;1;des getwerge;Maliclisier;overlap;0;0;1;R_HOFART;5;null;"[""PER""]";"[{""endOffset"":16,""startOffset"":4,""start"":""3732"",""end"":""3732""}]";"[{""endOffset"":16,""startOffset"":4,""start"":""\/div[140]"",""end"":""\/div[140]""}]";37397481
3777;3780;53;1;got;#Gott;null;0;0;1;R_HOFART;5;null;"[""PER""]";"[{""endOffset"":16,""startOffset"":13,""start"":3764,""end"":3764}]";"[{""endOffset"":16,""startOffset"":13,""start"":""\/div[141]"",""end"":""\/div[141]""}]";37807800
3925;3938;53;1;der küneginne;Ginovêr;null;0;0;0;R_HOFART;5;null;"[""PER""]";"[{""endOffset"":13,""startOffset"":0,""start"":3925,""end"":3925}]";"[{""endOffset"":13,""startOffset"":0,""start"":""\/div[147]"",""end"":""\/div[147]""}]";39289380
4088;4101;53;1;der junchêrre;Erec;null;0;0;0;R_HOFART;5;null;"[""PER""]";"[{""endOffset"":24,""startOffset"":11,""start"":4077,""end"":4077}]";"[{""endOffset"":24,""startOffset"":11,""start"":""\/div[153]"",""end"":""\/div[153]""}]";40921010
4788;4814;53;1;des wirt der herzoge Îmâîn;Imaîn;overlap_max;0;0;0;R_AVT;6;null;"[""PER""]";"[{""endOffset"":26,""startOffset"":0,""start"":""4788"",""end"":""4788""}]";"[{""endOffset"":26,""startOffset"":0,""start"":""\/div[180]"",""end"":""\/div[180]""}]";47928140
4797;4815;53;1;Tulmein, des wirt der herzoge Îmâîn;null;overlap;0;0;0;R_AVT;6;null;"[""PER""]";"[{""endOffset"":4815,""startOffset"":4797,""start"":0,""end"":0}]";"[{""endOffset"":26,""startOffset"":17,""start"":""\/div[179]"",""end"":""\/div[180]""}]";48018150
4824;4834;53;1;der ritter;Idêrs;null;0;0;0;R_AVT;6;null;"[""PER""]";"[{""endOffset"":18,""startOffset"":8,""start"":4816,""end"":4816}]";"[{""endOffset"":18,""startOffset"":8,""start"":""\/div[181]"",""end"":""\/div[181]""}]";48288340
4908;4917;53;1;dem wirte;Imaîn;null;0;0;0;R_AVT;6;null;"[""PER""]";"[{""endOffset"":17,""startOffset"":8,""start"":4900,""end"":4900}]";"[{""endOffset"":17,""startOffset"":8,""start"":""\/div[184]"",""end"":""\/div[184]""}]";49129170
4962;4976;53;1;sîner vriundîn;# unbestimmt (einzel);overlap_max;0;1;0;R_AVT;7;null;"[""PER""]";"[{""endOffset"":18,""startOffset"":4,""start"":""4958"",""end"":""4958""}]";"[{""endOffset"":18,""startOffset"":4,""start"":""\/div[186]"",""end"":""\/div[186]""}]";49669760
4962;4976;53;1;sîner vriundîn;# unbestimmt (einzel);overlap;0;1;0;R_AVT;7;null;"[""PER""]";"[{""endOffset"":18,""startOffset"":4,""start"":""4958"",""end"":""4958""}]";"[{""endOffset"":18,""startOffset"":4,""start"":""\/div[186]"",""end"":""\/div[186]""}]";49669761
