begin ; end ; doc_id ; buch ; quote ; coref ; overlap ;ek ;ek2 ; ds ; space; segnr ; em ; klasse ; xrange;;
7725;7734;6;1;Der künec;Gâlôes;null;0;0;0;R_HOF;9;null;"[""PER""]";"[{""endOffset"":9,""startOffset"":0,""start"":7725,""end"":7725}]";"[{""endOffset"":9,""startOffset"":0,""start"":""\/div[277]"",""end"":""\/div[277]""}]";77257734
7906;7915;6;1;den künec;Gâlôes;null;0;0;0;R_HOF;10;null;"[""PER""]";"[{""endOffset"":9,""startOffset"":0,""start"":7906,""end"":7906}]";"[{""endOffset"":9,""startOffset"":0,""start"":""\/div[285]"",""end"":""\/div[285]""}]";79067915
8022;8046;6;1;knappen, die des pflâgen;# unbestimmt (multi);null;0;0;0;R_HOF;10;null;"[""PER""]";"[{""endOffset"":24,""startOffset"":0,""start"":""8022"",""end"":""8022""}]";"[{""endOffset"":24,""startOffset"":0,""start"":""\/div[289]"",""end"":""\/div[289]""}]";80228046
8122;8133;6;1;sîne muoter;Schôette;null;0;0;0;R_HOF;10;null;"[""PER""]";"[{""endOffset"":21,""startOffset"":10,""start"":8112,""end"":8112}]";"[{""endOffset"":21,""startOffset"":10,""start"":""\/div[292]"",""end"":""\/div[292]""}]";81228133
8174;8191;6;1;vil;Gahmuret;overlap_max;0;0;1;R_HOF;10;null;"[""PER""]";"[{""endOffset"":18,""startOffset"":1,""start"":""8173"",""end"":""8173""}]";"[{""endOffset"":18,""startOffset"":1,""start"":""\/div[294]"",""end"":""\/div[294]""}]";81748191
8178;8191;6;1;li roy Gandîn;null;overlap;0;0;1;R_HOF;10;null;"[""PER""]";"[{""endOffset"":18,""startOffset"":5,""start"":8173,""end"":8173}]";"[{""endOffset"":18,""startOffset"":5,""start"":""\/div[294]"",""end"":""\/div[294]""}]";81788191
8233;8249;6;1;daz wîplîche wîp;Schôette;null;0;0;0;R_HOF;10;null;"[""PER""]";"[{""endOffset"":23,""startOffset"":7,""start"":8226,""end"":8226}]";"[{""endOffset"":23,""startOffset"":7,""start"":""\/div[296]"",""end"":""\/div[296]""}]";82338249
8296;8304;6;1;Gandînes;null;overlap;0;0;1;R_HOF;10;null;"[""PER""]";"[{""endOffset"":20,""startOffset"":12,""start"":""8284"",""end"":""8284""}]";"[{""endOffset"":20,""startOffset"":12,""start"":""\/div[298]"",""end"":""\/div[298]""}]";82968304
8296;8309;6;1;Gandînes kint;Gahmuret;overlap_max;0;0;1;R_HOF;10;null;"[""PER""]";"[{""endOffset"":25,""startOffset"":12,""start"":8284,""end"":8284}]";"[{""endOffset"":25,""startOffset"":12,""start"":""\/div[298]"",""end"":""\/div[298]""}]";82968309
8315;8318;6;1;got;Gott;null;0;0;1;R_HOF;10;null;"[""PER""]";"[{""endOffset"":7,""startOffset"":4,""start"":8311,""end"":8311}]";"[{""endOffset"":7,""startOffset"":4,""start"":""\/div[299]"",""end"":""\/div[299]""}]";83158318
8636;8655;6;1;der junge Anschevîn;Gahmuret;null;0;0;0;R_HOF;11;null;"[""PER""]";"[{""endOffset"":29,""startOffset"":10,""start"":8626,""end"":8626}]";"[{""endOffset"":29,""startOffset"":10,""start"":""\/div[311]"",""end"":""\/div[311]""}]";86368655
8657;8660;6;1;got;Gott;null;0;0;1;R_HOF;11;null;"[""PER""]";"[{""endOffset"":4,""startOffset"":1,""start"":8656,""end"":8656}]";"[{""endOffset"":4,""startOffset"":1,""start"":""\/div[312]"",""end"":""\/div[312]""}]";86578660
8675;8680;6;1;vrowe;Schôette;null;0;0;1;R_HOF;11;null;"[""PER""]";"[{""endOffset"":24,""startOffset"":19,""start"":""8656"",""end"":""8656""}]";"[{""endOffset"":24,""startOffset"":19,""start"":""\/div[312]"",""end"":""\/div[312]""}]";86758680
8682;8695;6;1;des vater;Gandîn;null;0;0;1;R_HOF;11;null;"[""PER""]";"[{""endOffset"":8695,""startOffset"":8682,""start"":0,""end"":0}]";"[{""endOffset"":35,""startOffset"":26,""start"":""\/div[312]"",""end"":""\/div[312]""}]";86828695
8854;8860;6;1;vrouwe;Schôette;null;0;0;1;R_HOF;11;null;"[""PER""]";"[{""endOffset"":6,""startOffset"":0,""start"":8854,""end"":8854}]";"[{""endOffset"":6,""startOffset"":0,""start"":""\/div[318]"",""end"":""\/div[318]""}]";88548860
8896;8909;6;1;diu küneginne;Schôette;null;0;0;0;R_HOF;11;null;"[""PER""]";"[{""endOffset"":23,""startOffset"":10,""start"":8886,""end"":8886}]";"[{""endOffset"":23,""startOffset"":10,""start"":""\/div[319]"",""end"":""\/div[319]""}]";88968909
8962;8972;6;1;lieber sun;Gahmuret;null;0;0;1;R_HOF;11;null;"[""PER""]";"[{""endOffset"":10,""startOffset"":0,""start"":8962,""end"":8962}]";"[{""endOffset"":10,""startOffset"":0,""start"":""\/div[322]"",""end"":""\/div[322]""}]";89628972
9040;9054;6;1;dîne kameraere;# unbestimmt (multi);null;0;0;1;R_HOF;11;null;"[""PER""]";"[{""endOffset"":14,""startOffset"":0,""start"":""9040"",""end"":""9040""}]";"[{""endOffset"":14,""startOffset"":0,""start"":""\/div[325]"",""end"":""\/div[325]""}]";90409054
9160;9170;6;1;süezer man;Gahmuret;null;0;0;1;R_HOF;11;null;"[""PER""]";"[{""endOffset"":10,""startOffset"":0,""start"":9160,""end"":9160}]";"[{""endOffset"":10,""startOffset"":0,""start"":""\/div[330]"",""end"":""\/div[330]""}]";91609170
9253;9259;6;1;vrouwe;Schôette;null;0;0;1;R_HOF;11;null;"[""PER""]";"[{""endOffset"":7,""startOffset"":1,""start"":9252,""end"":9252}]";"[{""endOffset"":7,""startOffset"":1,""start"":""\/div[333]"",""end"":""\/div[333]""}]";92539259
9406;9415;6;1;der künec;Gâlôes;null;0;0;1;R_HOF;11;null;"[""PER""]";"[{""endOffset"":22,""startOffset"":13,""start"":9393,""end"":9393}]";"[{""endOffset"":22,""startOffset"":13,""start"":""\/div[338]"",""end"":""\/div[338]""}]";94069415
9576;9595;6;1;der helt;Gahmuret;null;0;0;0;R_HOF;12;null;"[""PER""]";"[{""endOffset"":26,""startOffset"":7,""start"":""9569"",""end"":""9569""}]";"[{""endOffset"":26,""startOffset"":7,""start"":""\/div[345]"",""end"":""\/div[345]""}]";95769595
9787;9803;6;1;ein sîn vriundin;# unbestimmt (einzel);null;0;0;0;R_HOF;12;null;"[""PER""]";"[{""endOffset"":29,""startOffset"":13,""start"":""9774"",""end"":""9774""}]";"[{""endOffset"":29,""startOffset"":13,""start"":""\/div[352]"",""end"":""\/div[352]""}]";97879803
