begin ; end ; doc_id ; buch ; quote ; coref ; overlap ;ek ;ek2 ; ds ; space; segnr ; em ; klasse ; xrange;;
6057;6069;64;1;disen herren;Gâwein;null;0;0;1;R_HOFART;8;null;"[""PER""]";"[{""endOffset"":24,""startOffset"":12,""start"":""6045"",""end"":""6045""}]";"[{""endOffset"":24,""startOffset"":12,""start"":""\/div[228]"",""end"":""\/div[228]""}]";60576069
6057;6069;64;1;disen herren;Îwein;null;0;0;1;R_HOFART;8;null;"[""PER""]";"[{""endOffset"":24,""startOffset"":12,""start"":""6045"",""end"":""6045""}]";"[{""endOffset"":24,""startOffset"":12,""start"":""\/div[228]"",""end"":""\/div[228]""}]";60576069
6135;6145;64;1;vrouwe;Ginover;null;0;0;1;R_HOFART;8;null;"[""PER""]";"[{""endOffset"":6145,""startOffset"":6135,""start"":0,""end"":0}]";"[{""endOffset"":10,""startOffset"":4,""start"":""\/div[231]"",""end"":""\/div[231]""}]";61356145
6252;6269;64;1;diu guote künegîn;Ginover;null;0;0;0;R_HOFART;8;null;"[""PER""]";"[{""endOffset"":27,""startOffset"":10,""start"":6242,""end"":6242}]";"[{""endOffset"":27,""startOffset"":10,""start"":""\/div[235]"",""end"":""\/div[235]""}]";62526269
6272;6289;64;1;Kâlogrenant;Kâlogrenant;null;0;0;1;R_HOFART;8;null;"[""PER""]";"[{""endOffset"":6289,""startOffset"":6272,""start"":0,""end"":0}]";"[{""endOffset"":19,""startOffset"":8,""start"":""\/div[236]"",""end"":""\/div[236]""}]";62726289
6560;6571;64;1;Kâlogrenant;Kâlogrenant;null;0;0;0;R_HOFART;9;null;"[""PER""]";"[{""endOffset"":21,""startOffset"":10,""start"":6550,""end"":6550}]";"[{""endOffset"":21,""startOffset"":10,""start"":""\/div[248]"",""end"":""\/div[248]""}]";65606571
7201;7206;64;1; walt;null;-1;0;0;1;R_HOFART;9;null;"[""PER""]";"[{""endOffset"":24,""startOffset"":19,""start"":7182,""end"":7182}]";"[{""endOffset"":24,""startOffset"":19,""start"":""\/div[269]"",""end"":""\/div[269]""}]";72017206
7721;7730;64;1;ein rîter;# unbestimmt (einzel) ;null;0;0;1;R_HOFART;10;null;"[""PER""]";"[{""endOffset"":19,""startOffset"":10,""start"":7711,""end"":7711}]";"[{""endOffset"":19,""startOffset"":10,""start"":""\/div[289]"",""end"":""\/div[289]""}]";77217730
7808;7823;64;1;des hûses herre;# unbestimmt (einzel) ;null;0;0;1;R_HOFART;10;null;"[""PER""]";"[{""endOffset"":23,""startOffset"":8,""start"":""7800"",""end"":""7800""}]";"[{""endOffset"":23,""startOffset"":8,""start"":""\/div[292]"",""end"":""\/div[292]""}]";78087823
8096;8099;64;1;got;# Gott;null;0;0;1;R_HOFART;10;null;"[""PER""]";"[{""endOffset"":10,""startOffset"":7,""start"":8089,""end"":8089}]";"[{""endOffset"":10,""startOffset"":7,""start"":""\/div[303]"",""end"":""\/div[303]""}]";80968099
