begin ; end ; doc_id ; buch ; quote ; coref ; overlap ;ek ;ek2 ; ds ; space; segnr ; em ; klasse ; xrange
2192;2210;97;1;ir mine uil liebin;zwölf Fürsten (Christen);null;0;0;1;R_AAC;3;null;["PER"];[{"endOffset":34,"startOffset":16,"start":"2176","end":"2176"}];[{"endOffset":34,"startOffset":16,"start":"\/div[89]","end":"\/div[89]"}];21922210;
2224;2228;97;1;gote;Gott (christlich);null;0;0;1;R_AAC;3;null;["PER"];[{"endOffset":16,"startOffset":12,"start":2212,"end":2212}];[{"endOffset":16,"startOffset":12,"start":"\/div[90]","end":"\/div[90]"}];22242228;
2262;2270;97;1;ir helde;zwölf Fürsten (Christen);null;0;0;1;R_AAC;3;null;["PER"];[{"endOffset":12,"startOffset":4,"start":2258,"end":2258}];[{"endOffset":12,"startOffset":4,"start":"\/div[92]","end":"\/div[92]"}];22622270;
2288;2291;97;1;got;Gott (christlich);null;0;0;1;R_AAC;4;null;["PER"];[{"endOffset":13,"startOffset":10,"start":2278,"end":2278}];[{"endOffset":13,"startOffset":10,"start":"\/div[93]","end":"\/div[93]"}];22882291;
2400;2403;97;1;got;Gott (christlich);null;0;0;1;R_AAC;4;null;["PER"];[{"endOffset":14,"startOffset":11,"start":2389,"end":2389}];[{"endOffset":14,"startOffset":11,"start":"\/div[97]","end":"\/div[97]"}];24002403;
2444;2468;97;1;der keiser allir hiemele;Gott (christlich);null;0;0;1;R_AAC;4;null;["PER"];[{"endOffset":27,"startOffset":3,"start":"2441","end":"2441"}];[{"endOffset":27,"startOffset":3,"start":"\/div[99]","end":"\/div[99]"}];24442468;
2551;2554;97;1;got;Gott (christlich);null;0;0;1;R_AAC;4;null;["PER"];[{"endOffset":14,"startOffset":11,"start":2540,"end":2540}];[{"endOffset":14,"startOffset":11,"start":"\/div[103]","end":"\/div[103]"}];25512554;
2736;2756;97;1;herzogin unde grauen;zwölf Fürsten (Christen);null;0;0;0;R_AAC;4;null;["PER"];[{"endOffset":20,"startOffset":0,"start":"2736","end":"2736"}];[{"endOffset":20,"startOffset":0,"start":"\/div[110]","end":"\/div[110]"}];27362756;
2765;2781;97;1;der helt Ruolant;Ruolant;null;0;0;0;R_AAC;4;null;["PER"];[{"endOffset":2781,"startOffset":2765,"start":0,"end":0}];[{"endOffset":18,"startOffset":7,"start":"\/div[111]","end":"\/div[113]"}];27652781;
2786;2803;97;1;Oliuir der wigant;Olivier;null;0;0;0;R_AAC;4;null;["PER"];[{"endOffset":21,"startOffset":4,"start":"2782","end":"2782"}];[{"endOffset":21,"startOffset":4,"start":"\/div[112]","end":"\/div[112]"}];27862803;
2805;2823;97;1;Samson der herzoge;Samsôn;null;0;0;0;R_AAC;4;null;["PER"];[{"endOffset":18,"startOffset":0,"start":"2805","end":"2805"}];[{"endOffset":18,"startOffset":0,"start":"\/div[113]","end":"\/div[113]"}];28052823;
